date,ISEMACHI_GTRENDS_10.csv_Japan,ISEMACHI_GTRENDS_10.csv_Tokyo,ISEMACHI_GTRENDS_10.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_11.csv_Japan,ISEMACHI_GTRENDS_11.csv_Tokyo,ISEMACHI_GTRENDS_11.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_12.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_13.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_13.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_14.csv_Japan,ISEMACHI_GTRENDS_14.csv_Tokyo,ISEMACHI_GTRENDS_14.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_15.csv_Japan,ISEMACHI_GTRENDS_15.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_15.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_16.csv_Japan,ISEMACHI_GTRENDS_16.csv_Tokyo,ISEMACHI_GTRENDS_16.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_17.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_17.csv_Fukuoka.Prefecture,ISEMACHI_GTRENDS_17.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_1.csv_Japan,ISEMACHI_GTRENDS_1.csv_Tokyo,ISEMACHI_GTRENDS_1.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_1.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_1.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_2.csv_Japan,ISEMACHI_GTRENDS_2.csv_Tokyo,ISEMACHI_GTRENDS_2.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_2.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_3.csv_Japan,ISEMACHI_GTRENDS_3.csv_Tokyo,ISEMACHI_GTRENDS_3.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_4.csv_Japan,ISEMACHI_GTRENDS_4.csv_Tokyo,ISEMACHI_GTRENDS_4.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_5.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_6.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_6.csv_Chiba.Prefecture,ISEMACHI_GTRENDS_6.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_7.csv_Aichi.Prefecture,ISEMACHI_GTRENDS_7.csv_Hokkaido.Prefecture,ISEMACHI_GTRENDS_8.csv_Japan,ISEMACHI_GTRENDS_8.csv_Tokyo,ISEMACHI_GTRENDS_8.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_8.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_8.csv_Osaka.Prefecture,ISEMACHI_GTRENDS_9.csv_Japan,ISEMACHI_GTRENDS_9.csv_Kanagawa.Prefecture,ISEMACHI_GTRENDS_9.csv_Saitama.Prefecture,ISEMACHI_GTRENDS_japan_bus&rail_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_hotel&acco_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_touristdestinations_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_travelagencies_伊勢.csv_伊勢,ISEMACHI_GTRENDS_japan_travel_伊勢.csv_伊勢
2014-05-04,50,46,76,71,89,0,51,63,0,43,38,67,46,0,0,38,33,65,0,0,0,51,42,30,0,81,55,45,0,94,40,32,66,83,100,0,57,61,0,0,63,0,58,60,50,0,77,31,0,0,66,73,69,100,78
2014-05-11,35,34,51,58,72,0,37,43,0,42,36,55,52,0,0,38,30,78,58,0,0,39,34,0,0,60,44,34,0,82,31,28,50,78,85,0,45,58,0,0,41,0,37,39,51,0,41,22,0,0,51,76,59,79,61
2014-05-18,36,32,47,46,65,0,31,0,0,41,34,48,50,0,0,36,33,57,61,0,0,39,35,0,0,50,44,34,0,68,32,24,45,54,72,0,54,63,0,0,51,0,35,36,53,0,41,22,0,0,52,72,55,67,58
2014-05-25,40,36,53,51,70,0,35,0,0,37,30,45,47,0,0,36,26,68,68,0,0,38,31,0,0,55,44,33,0,77,30,24,38,58,71,0,50,59,0,0,52,0,41,38,49,0,52,30,0,0,49,69,59,73,61
2014-06-01,35,29,51,36,67,0,29,0,0,38,32,54,42,0,0,39,30,74,74,0,0,36,29,0,0,58,42,32,0,70,31,23,56,36,71,0,54,68,0,0,58,0,36,34,49,0,48,20,0,0,51,62,57,67,57
2014-06-08,37,33,58,32,67,0,26,0,0,38,32,48,38,0,0,36,26,70,81,0,0,40,33,0,0,62,49,38,0,70,35,29,60,45,72,0,47,78,0,0,60,0,35,32,47,0,49,19,0,0,48,61,58,62,58
2014-06-15,37,39,49,43,67,0,37,0,0,41,33,54,44,0,0,35,28,64,88,0,0,39,35,32,0,56,47,39,0,69,31,28,47,54,61,0,43,45,0,0,61,0,35,37,44,0,45,19,0,0,37,70,56,59,55
2014-06-22,35,34,52,37,84,0,37,0,0,43,44,58,50,0,0,50,42,88,70,0,0,40,36,35,0,63,46,37,0,82,37,34,60,61,76,0,47,60,0,0,62,0,34,36,47,0,40,19,0,0,45,68,60,59,58
2014-06-29,34,32,61,50,100,0,32,0,0,48,38,75,61,0,0,40,28,69,70,0,0,42,34,37,0,60,49,39,0,72,33,27,48,64,79,0,57,64,0,0,63,0,33,29,50,0,44,19,0,0,51,72,58,64,58
2014-07-06,37,34,55,58,75,0,32,0,0,46,37,72,55,0,0,42,36,73,77,0,0,42,37,26,0,66,42,34,0,73,33,28,48,62,79,0,59,51,0,0,58,0,38,37,43,0,52,20,0,0,43,65,58,75,60
2014-07-13,43,43,50,48,81,0,32,60,0,46,43,72,52,0,0,49,44,90,84,0,0,47,41,33,0,71,48,39,0,90,41,36,63,44,71,0,70,67,0,0,66,0,42,42,41,0,56,23,0,0,52,72,65,73,67
2014-07-20,48,42,61,37,65,0,44,58,0,50,46,69,48,0,0,45,39,83,88,0,0,49,43,34,0,77,57,44,0,94,44,40,72,49,73,0,75,90,0,0,71,0,45,45,52,0,54,26,0,0,62,80,68,62,70
2014-07-27,42,39,57,57,67,0,38,58,0,53,47,75,55,0,0,49,43,74,92,0,0,50,43,36,52,70,51,40,0,81,43,39,57,49,64,0,66,80,0,0,62,0,45,46,51,0,54,24,0,0,57,74,69,64,71
2014-08-03,42,40,63,52,92,0,50,59,0,49,48,76,58,0,0,47,36,84,96,0,0,52,49,34,53,73,52,46,0,75,48,42,70,64,80,0,77,72,0,0,66,0,43,45,51,66,49,27,0,0,67,75,66,86,73
2014-08-10,60,58,80,51,70,0,63,100,0,55,52,75,68,0,0,50,50,68,100,0,0,67,59,39,70,99,67,59,0,92,64,58,100,58,80,0,100,84,0,0,100,0,61,62,58,61,78,36,0,0,82,100,88,80,94
2014-08-17,51,50,76,54,74,0,36,56,0,51,46,74,52,0,0,48,48,80,76,0,0,53,49,34,58,79,56,45,0,91,48,43,75,63,88,0,67,64,0,0,62,0,48,50,45,63,63,29,0,0,69,68,69,78,74
2014-08-24,47,49,67,58,76,0,45,68,0,47,45,58,53,0,0,44,43,75,78,0,0,49,45,32,50,79,53,45,0,87,42,40,65,62,71,0,67,67,0,0,59,0,50,49,61,55,63,29,0,0,64,79,65,77,69
2014-08-31,46,42,61,55,72,0,36,65,0,49,49,72,63,0,0,45,38,78,81,0,0,50,43,34,48,73,54,47,0,86,39,34,61,66,78,0,65,67,0,0,62,0,47,46,41,55,59,22,0,0,68,74,63,92,68
2014-09-07,48,40,82,64,74,0,44,65,0,51,46,72,64,0,0,41,37,73,84,0,0,52,45,32,44,78,55,46,0,72,43,40,69,73,93,0,68,71,0,0,69,0,47,41,48,52,73,22,0,0,61,84,67,91,70
2014-09-14,49,49,76,55,69,0,57,0,0,44,41,64,44,0,0,45,46,77,0,0,0,49,43,44,40,73,53,43,0,81,40,36,67,59,74,0,70,79,0,0,67,0,50,48,44,50,71,35,0,0,63,82,69,79,78
2014-09-21,41,39,39,53,79,0,43,0,0,40,34,48,50,0,0,41,34,64,0,0,0,48,42,32,43,72,58,55,0,79,35,28,56,60,72,0,62,78,0,0,51,0,45,44,46,56,55,27,0,0,63,64,61,90,65
2014-09-28,42,38,54,56,64,0,40,0,0,43,39,53,53,0,0,40,35,97,0,0,0,46,39,34,46,62,53,44,0,77,32,31,43,61,69,0,70,78,0,0,64,0,43,41,52,54,54,33,0,0,61,61,60,83,63
2014-10-05,45,42,46,52,77,0,27,0,0,45,40,43,55,0,0,43,38,59,0,0,0,44,37,34,48,58,55,45,0,71,37,31,42,63,71,0,60,64,0,0,55,0,42,40,48,65,49,25,0,0,60,78,61,87,68
2014-10-12,45,41,57,55,75,0,34,0,0,42,39,53,56,0,0,39,37,59,0,0,0,43,36,32,38,58,52,40,0,89,35,31,42,58,75,0,53,71,0,0,51,0,41,44,37,61,41,23,0,0,57,76,60,70,62
2014-10-19,34,32,48,44,70,0,39,0,0,41,36,59,49,0,0,36,29,64,91,0,0,43,37,27,41,65,54,48,0,80,34,30,44,50,69,0,66,72,0,0,60,0,37,40,39,47,44,23,0,0,56,62,59,72,59
2014-10-26,44,44,53,54,73,0,34,0,0,44,43,66,46,0,0,40,35,69,92,0,0,45,40,35,42,66,54,50,0,78,37,33,45,63,81,0,60,70,0,0,70,0,42,40,49,47,55,27,0,0,61,65,61,68,64
2014-11-02,44,41,66,50,77,0,44,0,0,40,35,68,45,0,0,36,36,64,93,0,0,46,40,34,47,66,58,47,0,84,36,31,46,59,84,0,70,77,0,0,59,0,45,45,43,58,59,27,0,0,57,70,64,85,66
2014-11-09,41,35,63,48,71,0,34,56,0,42,37,68,46,0,0,33,31,64,70,0,0,43,36,32,51,61,49,45,0,67,32,26,42,48,82,0,57,60,0,0,56,0,39,35,44,50,53,28,0,0,50,74,59,60,60
2014-11-16,46,41,70,40,71,0,34,56,0,40,40,56,47,0,0,37,29,68,80,0,0,44,37,33,39,67,56,46,0,85,37,28,65,49,82,0,59,71,0,0,51,0,44,44,51,50,67,27,0,0,51,63,60,75,62
2014-11-23,41,37,60,52,69,0,43,57,0,36,30,61,40,0,0,34,32,64,0,0,0,40,35,30,38,59,51,40,0,79,29,25,50,53,82,0,55,74,0,0,54,0,38,37,41,42,48,19,0,0,56,58,57,58,57
2014-11-30,34,34,41,38,64,0,29,62,0,33,32,70,43,0,0,32,36,64,0,0,0,40,37,30,40,54,48,40,0,72,30,29,41,43,77,0,43,62,0,0,55,0,34,36,34,45,43,25,0,0,51,66,53,58,53
2014-12-07,37,35,53,47,69,0,38,66,0,36,33,53,49,0,0,30,26,64,0,0,0,40,35,26,43,56,49,41,0,68,30,27,41,55,72,0,61,85,0,0,60,0,40,41,38,48,51,25,0,0,51,78,54,75,57
2014-12-14,31,34,53,35,71,0,44,71,0,29,26,49,33,0,0,28,30,68,0,0,0,39,36,26,30,58,52,45,0,82,27,22,37,44,88,0,59,92,0,0,66,0,32,33,33,40,39,28,0,0,49,48,49,42,59
2014-12-21,39,33,53,45,73,0,54,75,0,34,32,48,53,0,0,31,25,72,0,0,0,44,38,26,39,69,55,47,0,92,34,30,44,46,75,0,64,75,0,0,65,0,41,41,37,47,52,35,0,0,65,61,55,59,61
2014-12-28,68,62,100,43,75,0,100,100,0,40,33,72,41,0,0,41,42,70,0,0,0,55,51,31,61,73,64,57,0,82,46,44,61,41,65,0,96,100,0,0,76,0,79,78,55,81,100,64,0,0,100,76,77,64,100
2015-01-04,57,49,75,70,77,0,74,74,0,42,36,69,45,0,0,43,35,67,0,0,0,47,39,37,53,66,52,41,76,75,36,32,52,58,65,0,64,73,0,0,58,0,56,47,57,75,73,35,0,0,61,76,68,87,74
2015-01-11,46,43,79,53,77,0,47,55,0,42,38,59,52,0,0,40,35,74,74,0,0,43,40,26,37,65,50,41,76,83,39,37,66,59,71,0,55,67,0,0,52,0,47,52,42,49,71,32,0,0,56,71,62,79,65
2015-01-18,38,35,47,42,60,0,49,59,0,38,38,49,42,0,0,36,35,79,60,0,0,41,35,27,40,61,46,35,76,77,33,28,56,56,71,0,53,70,0,0,54,0,40,38,40,44,54,29,0,0,51,68,57,62,59
2015-01-25,38,34,55,48,60,0,43,54,0,37,34,46,45,0,0,35,29,83,82,0,0,39,34,27,41,55,44,36,76,64,31,27,47,61,78,0,57,64,0,0,62,0,36,36,31,48,47,30,0,0,50,53,56,76,56
2015-02-01,37,33,60,36,66,0,39,68,0,37,31,66,42,0,0,33,31,65,70,0,0,42,36,28,35,63,44,31,77,77,35,28,56,41,74,0,61,66,0,0,70,0,36,35,38,36,48,24,0,0,52,80,58,52,56
2015-02-08,38,36,51,49,73,0,48,62,0,42,37,54,50,0,0,37,31,65,70,0,0,46,40,26,49,69,54,42,73,93,37,31,50,49,74,0,68,84,0,0,59,0,41,40,41,55,56,22,0,0,57,74,62,53,60
2015-02-15,37,32,61,43,61,0,42,56,0,38,32,70,44,0,0,38,31,66,69,0,0,44,38,28,43,66,47,34,57,74,37,31,52,53,71,0,67,82,0,0,68,0,41,39,41,46,61,22,0,0,55,79,58,79,60
2015-02-22,36,31,61,45,62,0,33,56,0,35,34,58,33,0,0,34,31,66,77,0,0,44,36,31,41,72,47,41,57,66,35,30,56,48,65,0,52,72,0,0,71,0,37,36,34,37,65,23,0,0,54,59,55,68,56
2015-03-01,40,37,61,46,63,0,34,56,0,44,36,61,55,0,0,40,31,71,85,0,0,42,37,29,44,64,44,33,57,70,36,32,51,50,64,0,60,68,0,0,56,0,39,34,41,43,67,22,0,0,63,77,61,77,61
2015-03-08,39,31,60,40,66,0,39,56,0,47,38,59,50,0,0,41,31,62,75,0,0,46,38,30,44,70,47,39,61,77,37,31,56,51,69,0,78,93,0,0,76,0,39,36,42,45,59,21,0,0,57,64,62,66,62
2015-03-15,39,36,60,31,67,0,49,56,0,38,35,62,51,0,0,34,30,65,71,0,0,46,38,25,43,71,54,43,64,82,38,32,61,36,65,0,66,85,0,0,69,0,39,38,35,51,51,27,0,0,60,69,66,44,65
2015-03-22,39,34,55,39,69,0,49,59,0,39,33,70,46,0,0,35,28,67,71,0,0,47,40,28,58,65,58,44,56,77,38,33,58,38,71,0,73,93,0,0,66,0,39,38,41,40,55,24,0,0,64,73,64,57,66
2015-03-29,29,24,43,29,70,0,31,61,0,32,31,51,40,0,0,27,23,69,71,0,0,40,35,24,39,56,50,45,56,69,31,25,41,40,77,0,67,65,0,0,74,0,29,26,33,35,39,22,0,0,59,58,53,52,53
2015-04-05,34,30,50,31,72,0,36,63,0,37,33,63,54,0,0,30,27,71,71,0,0,43,38,33,34,54,52,41,56,74,32,29,45,53,58,0,59,64,0,0,51,0,31,30,34,38,34,24,0,0,55,65,50,53,53
2015-04-12,35,32,43,35,74,0,34,65,0,36,33,54,42,0,0,33,28,73,71,0,0,40,35,30,40,58,48,42,56,75,35,29,53,44,72,0,54,65,0,0,63,0,33,32,38,42,38,27,0,0,52,60,56,60,55
2015-04-19,36,27,58,36,0,0,32,71,0,39,36,61,42,0,0,33,25,93,71,0,0,42,35,31,50,69,48,37,55,83,34,29,59,43,55,0,53,66,0,0,63,0,35,31,37,39,52,21,0,0,52,62,56,52,57
2015-04-26,45,44,65,28,0,0,60,77,0,43,36,68,62,0,0,40,35,70,71,0,0,52,42,29,52,79,54,43,75,75,49,40,77,38,58,0,79,72,0,0,91,0,46,42,38,44,71,32,0,0,71,78,73,50,73
2015-05-03,51,44,69,32,0,0,53,69,0,39,33,61,50,0,0,33,28,72,73,0,0,50,45,36,46,72,50,42,73,70,48,42,74,34,62,0,73,63,0,0,74,0,46,41,39,54,62,24,0,0,64,69,70,57,74
2015-05-10,27,24,42,26,0,0,29,0,0,31,30,45,36,0,0,25,24,75,74,0,0,35,27,30,32,50,46,37,55,75,27,23,43,31,57,0,46,58,0,0,51,0,25,24,38,34,28,18,0,0,43,54,51,41,49
2015-05-17,26,27,35,28,0,0,26,0,0,27,22,45,45,0,0,26,26,77,75,0,0,35,29,24,35,50,46,34,85,79,25,22,26,39,57,0,51,65,0,0,55,0,26,24,39,31,32,18,0,0,55,49,49,33,50
2015-05-24,28,29,37,43,0,0,24,0,0,27,22,41,36,0,0,25,23,79,77,0,0,35,28,26,43,53,44,35,60,64,25,20,35,33,57,0,54,61,0,0,59,0,25,24,40,33,31,17,0,0,52,57,50,46,50
2015-05-31,33,31,59,25,0,0,31,0,0,43,31,62,41,0,0,45,38,82,78,0,0,41,34,30,34,65,43,38,63,71,36,29,67,29,57,0,51,58,0,0,63,0,33,31,37,35,40,16,0,0,48,74,77,40,66
2015-06-07,44,40,58,25,0,0,33,0,0,56,51,83,41,0,0,63,56,76,69,0,0,43,36,34,40,59,43,32,66,72,42,34,52,35,57,0,62,69,0,0,69,0,39,37,46,39,49,22,0,0,44,68,93,44,76
2015-06-14,37,29,45,28,0,0,31,0,0,41,35,52,45,0,0,38,32,78,55,0,0,38,34,33,38,59,44,31,69,78,36,31,45,29,67,0,48,62,0,0,60,0,32,30,43,40,32,17,0,0,40,61,69,37,61
2015-06-21,36,30,60,25,0,0,20,38,0,40,28,61,38,0,0,38,24,74,55,0,0,39,29,27,30,64,42,26,0,70,34,25,60,33,77,0,44,64,0,0,44,0,31,29,35,0,43,17,0,0,46,61,68,40,60
2015-06-28,37,31,60,35,79,0,27,33,0,53,42,85,50,0,0,50,35,75,43,0,0,41,26,30,38,63,39,17,0,73,39,28,64,43,87,0,51,53,0,0,43,0,33,30,29,0,46,28,0,0,46,64,73,57,65
2015-07-05,40,34,51,33,0,0,34,39,0,55,39,82,59,0,0,52,35,87,41,0,0,44,29,35,46,72,45,23,0,80,38,26,63,40,0,0,50,57,0,0,44,0,37,34,40,0,44,19,0,0,53,70,74,58,67
2015-07-12,43,37,54,29,0,0,30,36,0,54,41,82,60,0,0,55,38,87,53,0,0,46,33,39,47,77,42,20,0,78,47,34,82,38,0,0,56,53,0,0,59,0,38,37,37,0,48,19,0,0,54,75,78,42,72
2015-07-19,41,27,70,31,0,0,34,40,0,54,44,82,53,0,0,54,47,100,55,0,0,47,30,29,49,84,56,25,0,100,43,29,78,42,0,0,60,72,0,0,62,0,38,34,39,0,54,21,0,0,72,74,73,47,69
2015-07-26,41,36,54,32,0,0,31,34,0,48,31,80,55,0,0,51,30,92,69,0,0,46,33,32,50,76,51,23,0,90,43,29,73,33,0,0,55,70,0,0,53,0,36,29,35,0,49,22,0,0,61,75,75,45,68
2015-08-02,43,42,64,33,0,0,39,38,0,54,40,82,50,0,0,51,33,85,60,0,0,53,34,42,52,84,54,28,0,90,47,35,80,40,0,0,68,70,0,0,67,0,39,35,43,0,51,23,0,0,64,77,83,55,76
2015-08-09,58,46,85,31,0,0,57,65,0,58,46,95,51,0,0,57,47,97,62,0,0,61,39,40,52,100,55,29,0,84,61,43,100,43,0,0,87,77,0,0,86,0,51,43,51,0,75,31,0,0,80,82,100,45,93
2015-08-16,45,34,80,40,73,0,38,39,0,53,42,94,58,0,0,47,31,88,60,0,0,52,35,33,50,88,54,29,0,85,48,31,92,47,81,0,72,77,0,0,61,0,42,38,35,0,61,23,0,0,70,83,82,63,78
2015-08-23,49,46,69,37,84,0,42,48,0,54,51,82,62,0,0,51,41,89,51,0,0,52,36,36,50,81,50,25,0,85,50,37,76,44,72,0,63,60,0,0,78,0,45,41,43,87,61,25,0,0,75,77,84,54,79
2015-08-30,51,38,74,49,95,0,36,46,0,57,48,82,64,0,0,55,38,99,52,0,0,49,36,34,51,76,45,23,0,73,46,38,64,58,85,0,55,59,0,0,52,0,44,38,48,0,60,29,0,0,68,87,82,75,77
2015-09-06,46,35,71,33,0,0,36,46,0,46,33,78,59,0,0,45,33,87,48,0,0,48,32,38,51,79,45,22,0,79,48,32,84,49,86,0,53,51,0,0,56,0,42,36,45,0,61,23,0,0,75,72,76,58,77
2015-09-13,54,41,82,41,0,0,46,46,0,54,47,84,73,0,0,49,36,90,58,0,0,53,36,34,52,82,48,25,0,84,48,35,70,42,0,0,68,67,0,0,66,0,48,39,44,0,70,29,0,0,67,98,81,67,77
2015-09-20,54,41,89,36,0,0,55,50,0,49,42,76,56,0,0,50,41,76,48,0,0,56,36,34,45,92,58,30,0,98,51,37,86,40,0,0,73,63,0,0,66,0,54,41,46,0,87,39,0,0,83,81,81,58,83
2015-09-27,40,34,53,31,0,0,30,36,0,38,32,52,53,0,0,36,29,65,49,0,0,44,30,30,45,66,46,20,0,78,43,35,60,42,0,0,57,69,0,0,61,0,36,30,38,0,48,19,0,0,50,93,90,51,77
2015-10-04,46,36,72,26,0,0,38,45,0,42,30,59,52,0,0,41,33,58,39,0,0,45,28,30,0,69,49,22,0,73,43,30,61,36,0,0,58,68,0,0,56,0,38,33,32,0,51,19,0,0,53,79,74,41,70
2015-10-11,41,30,52,33,0,0,42,47,0,40,32,60,56,0,0,37,31,58,42,0,0,44,29,26,0,71,48,22,0,82,38,27,59,39,0,0,53,61,0,0,48,0,36,27,31,0,49,19,0,0,53,82,70,44,65
2015-10-18,38,28,53,28,0,0,36,43,0,39,32,52,55,0,0,38,31,58,42,0,0,43,27,24,0,76,55,24,0,99,35,25,57,33,0,0,54,67,0,0,43,0,32,28,25,0,45,20,0,0,61,65,63,57,60
2015-10-25,37,31,48,24,0,0,33,38,0,36,34,48,46,0,0,33,25,55,36,0,0,42,27,24,0,66,46,21,0,75,32,21,54,32,0,0,49,59,0,0,46,0,33,28,31,0,43,20,0,0,57,77,62,43,58
2015-11-01,40,32,61,34,0,0,34,34,0,39,32,53,48,0,0,36,32,60,41,0,0,41,25,22,0,66,44,24,0,80,34,26,56,38,0,0,52,61,0,0,47,0,37,34,31,0,47,21,0,0,62,60,68,50,64
2015-11-08,38,26,52,27,0,0,30,40,0,38,28,52,41,0,0,37,21,61,46,0,0,39,25,22,0,65,45,21,0,80,33,24,49,29,0,0,54,57,0,0,44,0,33,28,23,0,49,17,0,0,58,68,65,36,60
2015-11-15,38,32,60,31,0,0,30,39,0,36,27,51,43,0,0,34,32,53,47,0,0,41,28,26,0,68,45,23,0,79,41,30,69,38,0,0,53,68,0,0,51,0,37,30,34,0,53,23,0,0,56,71,77,42,71
2015-11-22,38,35,53,29,0,0,37,42,0,34,28,48,35,0,0,33,27,51,40,0,0,40,25,27,0,65,46,24,0,81,31,24,42,34,0,0,52,70,0,0,51,0,33,29,31,0,39,23,0,0,56,61,66,41,63
2015-11-29,33,28,46,27,0,0,31,39,0,35,29,57,45,0,0,35,31,52,46,0,0,38,24,24,47,58,44,25,0,75,30,21,41,39,0,0,51,58,0,0,42,0,33,25,32,0,48,22,0,0,56,70,64,51,61
